City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,8.9897,125.34,74.08,95,100,1.03,PH,1612746927
busselton,-33.65,115.3333,66.99,99,94,1.99,AU,1612746927
vaini,-21.2,-175.2,77.0,100,90,12.66,TO,1612746927
kodiak,57.79,-152.4072,35.6,55,1,3.44,US,1612746927
saint-philippe,-21.3585,55.7679,80.6,61,90,6.91,RE,1612746928
hobart,-42.8794,147.3294,64.4,52,75,11.5,AU,1612746896
wewak,-3.5534,143.6268,84.6,66,81,1.66,PG,1612746416
bluff,-46.6,168.3333,63.75,62,100,7.05,NZ,1612746896
albany,42.6001,-73.9662,26.01,60,79,1.99,US,1612746895
cape town,-36.413,-71.9028,64.4,77,0,8.05,CL,1612746929
awjilah,29.1081,21.2869,67.59,25,100,17.45,LY,1612746596
dikson,73.5069,80.5464,-32.58,85,90,15.14,RU,1612746896
port moresby,-7.0349,29.7638,72.95,77,100,8.25,CD,1612746929
saskylakh,71.9167,114.0833,-36.69,79,44,12.21,RU,1612746930
aklavik,68.2191,-135.0107,-23.8,76,100,10.36,CA,1612746930
cabedelo,-6.9811,-34.8339,80.6,83,0,6.91,BR,1612746930
kempsey,-31.0833,152.8333,78.01,88,75,10.36,AU,1612746930
santiago del estero,-33.4569,-70.6483,72.0,63,0,8.05,CL,1612746901
ushuaia,-54.8,-68.3,51.8,82,75,9.22,AR,1612746854
grand river south east,38.8755,-109.5012,48.2,8,1,8.05,US,1612746931
rikitea,-23.1203,-134.9692,77.63,71,47,12.5,PF,1612746931
bac lieu,45.3919,19.2367,51.01,81,75,12.66,RS,1612746931
tiksi,71.6872,128.8694,-29.65,86,55,5.06,RU,1612746931
bredasdorp,-34.5322,20.0403,57.2,82,8,5.75,ZA,1612746931
new norfolk,6.6518,-10.5932,75.2,94,20,2.57,LR,1612746828
namibe,-15.1961,12.1522,72.19,77,87,3.76,AO,1612746932
pathein,16.7833,94.7333,71.38,62,84,6.82,MM,1612746932
camacha,33.0833,-16.3333,60.8,88,75,13.8,PT,1612746932
calabozo,8.9242,-67.4293,84.6,50,94,9.06,VE,1612746932
tasiilaq,65.6145,-37.6368,21.2,53,0,4.61,GL,1612746896
port-gentil,-0.7193,8.7815,81.84,77,100,4.34,GA,1612746932
kapaa,22.0752,-159.319,75.2,50,1,6.91,US,1612746861
olafsvik,64.8945,-23.7142,35.01,81,90,14.85,IS,1612746933
guerrero negro,17.6667,-100.0,69.82,64,13,4.18,MX,1612746933
qingdao,36.0986,120.3719,33.01,74,0,2.24,CN,1612746933
dawlatabad,36.4141,64.9053,52.75,47,95,2.71,AF,1612746933
san patricio,13.3034,-4.8956,74.16,20,100,11.45,ML,1612746828
bongaigaon,26.4782,90.5568,57.69,57,0,2.28,IN,1612746933
port alfred,-7.0349,29.7638,72.95,77,100,8.25,CD,1612746933
keti bandar,40.8737,43.8448,12.2,85,100,3.44,AM,1612746933
avarua,-21.2078,-159.775,84.2,79,40,10.36,CK,1612746933
kavieng,-2.5744,150.7967,85.1,70,8,7.2,PG,1612746934
tautira,-17.7333,-149.15,86.0,70,40,12.66,PF,1612746934
hermanus,-34.4187,19.2345,55.99,91,0,1.57,ZA,1612746934
upernavik,72.7868,-56.1549,18.14,79,43,4.59,GL,1612746649
lagoa,39.05,-27.9833,57.61,78,0,17.83,PT,1612746935
bentong,3.5181,101.9079,82.0,88,20,1.95,MY,1612746935
bonavista,48.6499,-53.1147,30.0,74,3,13.8,CA,1612746936
khuchni,41.9499,47.9485,31.93,96,98,4.38,RU,1612746936
severo-kurilsk,50.6789,156.125,25.18,91,59,18.52,RU,1612746936
acari,-15.4311,-74.6158,73.31,72,100,3.6,PE,1612746936
qaanaaq,77.484,-69.3632,16.74,85,100,6.38,GL,1612746936
olyka,50.7186,25.8125,15.01,88,100,7.0,UA,1612746936
comodoro rivadavia,-13.6631,-59.7858,71.85,80,100,2.68,BR,1612746936
hudson bay,40.7168,-74.0663,34.0,86,90,8.05,US,1612746936
cidreira,-30.1811,-50.2056,70.66,72,0,7.4,BR,1612746937
caravelas,-17.7125,-39.2481,76.06,91,100,7.96,BR,1612746937
kruisfontein,-34.0033,24.7314,63.0,89,100,1.01,ZA,1612746937
barrow,71.2906,-156.7887,-27.4,68,1,9.22,US,1612746901
lebu,-37.6167,-73.65,58.86,94,100,0.92,CL,1612746937
galdar,28.147,-15.6502,62.6,67,40,10.36,ES,1612746937
mys shmidta,62.0589,48.6201,-21.41,84,100,9.13,RU,1612746937
honningsvag,70.9821,25.9704,25.95,92,100,23.69,NO,1612746937
atikokan,48.7555,-91.6216,-21.91,85,75,7.43,CA,1612746938
ribeira grande,42.7461,-8.4439,50.0,93,75,8.05,ES,1612746938
karratha,-20.7377,116.8463,81.61,59,0,8.99,AU,1612746896
tommot,58.9564,126.2925,-19.48,81,0,1.54,RU,1612746939
itoman,26.1247,127.6694,68.0,56,20,11.5,JP,1612746801
